date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sunshine_duration,daylight_duration,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2010-01-01,53,25.7,21.1,26.7,24.2,3.9,3.9,0.0,12.0,11820.64,51690.04,18.6,35.6,332,10.13,2.46
2010-01-02,63,26.9,21.0,32.6,22.2,8.6,8.6,0.0,14.0,47009.17,51656.75,15.6,37.4,299,23.62,4.57
2010-01-03,51,20.6,19.5,21.3,19.2,1.1,1.1,0.0,7.0,0.0,51620.64,18.3,37.4,147,6.71,2.14
2010-01-04,51,22.5,19.2,22.3,19.5,0.6,0.6,0.0,4.0,33312.08,51581.75,16.9,37.4,70,15.84,3.5
2010-01-05,3,26.0,18.6,30.0,19.8,0.0,0.0,0.0,0.0,48326.6,51540.1,17.5,39.2,35,30.14,5.62
2010-01-06,3,24.7,20.5,28.9,21.1,0.0,0.0,0.0,0.0,48285.53,51495.73,18.7,40.0,148,27.29,4.94
2010-01-07,3,23.1,19.6,23.1,20.0,0.0,0.0,0.0,0.0,32123.54,51448.26,14.9,32.8,147,15.25,3.49
2010-01-08,51,24.5,20.8,26.1,22.2,0.5,0.5,0.0,4.0,30252.9,51397.43,14.4,32.0,71,18.83,3.87
2010-01-09,3,30.4,20.1,35.8,22.6,0.0,0.0,0.0,0.0,48145.75,51343.39,13.7,28.8,17,29.25,6.17
2010-01-10,1,27.3,21.3,30.9,23.1,0.0,0.0,0.0,0.0,48093.24,51286.26,18.7,41.4,160,30.68,5.89
2010-01-11,3,24.8,20.8,26.3,22.2,0.0,0.0,0.0,0.0,46738.82,51226.14,21.5,45.7,70,23.79,4.56
2010-01-12,51,30.4,21.2,35.9,23.7,0.3,0.3,0.0,1.0,47979.96,51163.18,18.9,38.5,37,29.77,6.04
2010-01-13,53,25.8,20.3,28.9,19.7,0.9,0.9,0.0,2.0,45992.49,51097.48,25.7,54.7,157,27.87,5.26
2010-01-14,3,22.7,19.9,23.1,19.5,0.0,0.0,0.0,0.0,8371.99,51029.18,19.2,38.5,166,10.39,2.78
2010-01-15,51,23.4,21.1,24.9,22.7,1.7,1.7,0.0,5.0,9170.6,50958.38,14.4,32.0,139,9.22,2.21
2010-01-16,3,25.8,20.5,29.4,23.2,0.0,0.0,0.0,0.0,40755.67,50885.21,14.6,34.9,52,21.73,4.25
2010-01-17,63,25.3,19.1,29.4,19.4,8.8,8.8,0.0,11.0,47653.52,50809.8,18.4,49.3,167,24.63,4.37
2010-01-18,3,23.7,16.4,20.1,16.8,0.0,0.0,0.0,0.0,47581.66,50732.25,28.1,54.4,245,31.15,6.45
2010-01-19,0,24.0,16.0,25.3,14.4,0.0,0.0,0.0,0.0,47507.84,50652.68,11.0,24.8,262,32.49,6.1
2010-01-20,0,27.8,17.3,30.8,17.8,0.0,0.0,0.0,0.0,47432.16,50571.2,10.5,30.2,343,31.87,6.39
2010-01-21,0,28.8,20.2,34.0,22.4,0.0,0.0,0.0,0.0,47354.74,50487.93,16.5,39.2,116,31.04,6.05
2010-01-22,2,32.4,20.7,35.9,23.8,0.0,0.0,0.0,0.0,47222.85,50402.99,14.2,34.6,359,29.87,6.92
2010-01-23,3,37.3,21.2,37.5,20.3,0.0,0.0,0.0,0.0,47195.03,50316.48,35.6,73.4,254,27.92,8.47
2010-01-24,51,24.0,20.5,24.5,20.8,0.2,0.2,0.0,2.0,14580.89,50228.5,16.7,34.6,131,13.75,3.43
2010-01-25,3,25.8,20.5,28.3,23.0,0.0,0.0,0.0,0.0,40539.64,50139.18,15.8,39.2,78,19.65,3.82
2010-01-26,3,29.0,21.6,35.1,25.7,0.0,0.0,0.0,0.0,42696.27,50048.6,17.0,38.5,111,25.59,5.03
2010-01-27,51,24.9,21.8,26.2,23.6,1.3,1.3,0.0,8.0,36479.45,49956.05,17.4,35.6,145,16.59,3.29
2010-01-28,53,25.6,21.6,28.5,24.8,2.0,2.0,0.0,7.0,30382.78,49861.07,17.3,37.4,66,15.96,3.19
2010-01-29,61,26.8,19.4,30.6,22.1,1.8,1.8,0.0,3.0,40474.77,49763.82,23.3,48.6,164,26.0,4.87
2010-01-30,53,25.3,21.1,27.6,21.6,2.4,2.4,0.0,10.0,38183.42,49664.42,19.4,43.6,154,19.01,3.86
2010-01-31,53,25.8,21.2,27.6,24.2,1.9,1.9,0.0,8.0,41088.77,49563.02,19.5,43.9,68,19.18,3.71
2010-02-01,3,26.4,22.2,27.6,24.3,0.0,0.0,0.0,0.0,41048.58,49459.78,18.7,43.6,83,21.77,4.6
2010-02-02,51,24.9,21.6,24.3,22.0,2.8,2.8,0.0,17.0,43209.43,49354.83,24.1,50.4,123,20.04,4.37
2010-02-03,61,25.1,21.2,26.4,22.6,5.9,5.9,0.0,17.0,36850.49,49248.3,22.4,47.2,94,16.55,3.18
2010-02-04,63,24.6,21.6,26.7,23.4,13.5,13.5,0.0,19.0,36506.44,49140.33,20.3,43.6,72,14.65,2.73
2010-02-05,61,25.0,22.5,29.1,25.2,10.6,10.6,0.0,18.0,10487.92,49031.05,11.3,25.6,61,9.71,1.96
2010-02-06,63,23.2,21.1,26.6,21.6,25.1,25.1,0.0,23.0,0.0,48920.6,28.7,59.0,171,7.17,1.63
2010-02-07,61,23.2,21.1,25.9,23.0,23.0,23.0,0.0,24.0,2090.28,48809.09,15.2,40.0,157,4.08,0.95
2010-02-08,51,24.9,21.7,27.3,25.0,1.5,1.5,0.0,11.0,30471.99,48696.66,14.8,35.6,88,15.65,2.93
