date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sunshine_duration,daylight_duration,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2015-01-01,3,27.0,20.2,31.8,22.2,0.0,0.0,0.0,0.0,48474.35,51701.08,17.3,37.4,59,29.62,5.48
2015-01-02,3,26.7,21.0,30.6,22.5,0.0,0.0,0.0,0.0,24758.28,51668.0,16.0,34.6,140,20.24,3.91
2015-01-03,3,27.4,21.5,32.4,25.4,0.0,0.0,0.0,0.0,44821.78,51631.56,21.1,45.4,52,28.44,5.3
2015-01-04,63,29.2,21.0,35.4,22.2,10.2,10.2,0.0,5.0,41183.68,51591.87,21.9,46.8,95,26.66,5.37
2015-01-05,51,23.6,20.6,25.6,21.3,0.5,0.5,0.0,4.0,8040.91,51549.03,16.8,32.0,150,10.44,2.37
2015-01-06,51,25.5,19.5,28.9,21.9,1.4,1.4,0.0,8.0,47475.68,51503.12,14.9,33.5,111,24.95,4.65
2015-01-07,2,26.7,21.4,29.6,22.8,0.0,0.0,0.0,0.0,48248.45,51454.26,21.7,45.4,53,29.22,5.62
2015-01-08,1,26.7,20.1,29.3,21.8,0.0,0.0,0.0,0.0,48200.93,51402.53,21.3,45.0,47,32.07,6.11
2015-01-09,51,27.7,21.5,31.8,24.6,0.3,0.3,0.0,3.0,46359.53,51348.04,15.8,37.8,48,24.49,4.81
2015-01-10,61,27.1,22.2,30.7,24.6,11.0,11.0,0.0,8.0,29854.17,51290.89,14.2,25.2,121,16.66,3.35
2015-01-11,63,22.0,20.8,24.2,21.8,30.9,30.9,0.0,22.0,0.0,51231.17,15.5,34.9,168,2.74,0.93
2015-01-12,51,22.7,20.1,22.5,20.7,3.1,3.1,0.0,15.0,42203.09,51168.98,25.9,54.7,177,19.38,3.56
2015-01-13,53,25.7,20.7,28.6,21.9,1.9,1.9,0.0,4.0,32661.85,51104.43,17.5,42.8,37,18.63,3.74
2015-01-14,53,30.9,22.9,33.1,22.5,0.8,0.8,0.0,2.0,47514.12,51037.6,22.1,45.0,292,31.59,7.11
2015-01-15,51,23.8,21.0,25.4,21.5,0.7,0.7,0.0,3.0,47800.49,50968.6,16.6,34.6,172,24.21,4.92
2015-01-16,51,26.8,19.7,31.8,21.9,0.5,0.5,0.0,3.0,46815.24,50897.51,8.2,26.6,37,28.99,5.38
2015-01-17,0,29.4,19.6,31.7,19.1,0.0,0.0,0.0,0.0,47666.82,50824.45,14.2,31.0,258,32.29,6.66
2015-01-18,51,25.8,20.6,29.9,21.8,0.2,0.2,0.0,2.0,47398.3,50749.49,21.1,45.4,154,28.76,5.41
2015-01-19,51,20.7,19.2,21.2,18.5,2.0,2.0,0.0,10.0,3312.85,50672.74,21.1,43.9,148,7.78,2.33
2015-01-20,53,22.6,18.7,22.5,19.1,3.7,3.7,0.0,12.0,14948.83,50594.28,20.3,49.7,66,10.92,2.64
2015-01-21,63,24.3,20.5,26.9,22.2,5.9,5.9,0.0,14.0,42056.08,50513.46,20.6,43.6,71,19.22,3.45
2015-01-22,53,25.6,20.9,29.1,23.9,1.1,1.1,0.0,5.0,46424.12,50429.88,17.0,41.4,66,26.07,4.63
2015-01-23,3,27.2,21.9,31.5,24.8,0.0,0.0,0.0,0.0,45711.0,50343.68,14.6,34.9,41,24.46,4.66
2015-01-24,3,27.0,21.8,31.7,24.8,0.0,0.0,0.0,0.0,44250.49,50255.01,17.1,40.7,53,26.26,4.96
2015-01-25,3,30.7,21.3,34.3,21.8,0.0,0.0,0.0,0.0,45670.59,50164.02,26.0,47.9,217,28.53,5.9
2015-01-26,51,21.4,19.0,21.3,19.4,3.2,3.2,0.0,13.0,1547.49,50070.85,19.3,41.8,160,6.66,2.26
2015-01-27,61,20.3,19.4,21.1,20.1,15.9,15.9,0.0,21.0,0.0,49975.64,14.8,36.7,129,4.82,1.3
2015-01-28,63,21.3,17.7,20.8,16.0,13.2,13.2,0.0,14.0,24236.01,49878.53,18.7,47.2,167,11.85,2.96
2015-01-29,2,20.7,15.9,18.9,14.1,0.0,0.0,0.0,0.0,45563.4,49779.66,21.7,49.3,197,27.32,5.17
2015-01-30,3,23.4,15.4,23.0,13.4,0.0,0.0,0.0,0.0,46285.02,49679.16,17.1,34.9,223,28.9,5.6
2015-01-31,51,23.2,16.9,25.6,17.4,0.1,0.1,0.0,1.0,45886.63,49577.16,15.8,33.5,130,25.06,4.73
2015-02-01,61,23.0,16.4,24.6,17.1,1.8,1.8,0.0,2.0,45461.62,49473.79,15.9,38.2,159,20.57,3.84
2015-02-02,51,22.0,17.7,22.2,18.0,0.4,0.4,0.0,3.0,44972.66,49369.2,26.1,56.2,175,24.23,4.3
2015-02-03,51,22.5,18.6,22.3,18.2,0.7,0.7,0.0,5.0,45223.38,49263.48,17.1,39.6,163,21.51,4.33
2015-02-04,51,22.3,15.9,23.8,16.3,0.9,0.9,0.0,4.0,44301.5,49156.77,17.6,43.9,177,22.38,4.14
2015-02-05,51,22.9,18.8,24.1,19.5,2.1,2.1,0.0,10.0,43234.62,49049.2,14.0,39.2,128,20.85,4.09
2015-02-06,51,23.1,18.6,23.6,19.5,0.2,0.2,0.0,2.0,44601.56,48940.88,13.2,35.3,136,20.33,3.99
2015-02-07,3,24.9,17.6,27.3,18.8,0.0,0.0,0.0,0.0,45129.89,48831.92,16.9,36.4,40,24.15,4.61
2015-02-08,1,28.9,19.1,34.4,21.0,0.0,0.0,0.0,0.0,45145.52,48722.44,12.7,27.4,61,27.78,5.43
2015-02-09,51,25.2,21.0,26.2,22.8,0.4,0.4,0.0,3.0,44445.86,48612.55,20.2,45.0,156,19.11,3.86
2015-02-10,51,25.5,20.5,28.6,23.4,1.5,1.5,0.0,10.0,44664.21,48501.48,15.6,37.1,84,21.34,4.11
2015-02-11,51,26.1,21.4,29.2,24.3,0.6,0.6,0.0,5.0,44840.09,48388.69,16.7,40.3,54,24.53,4.62
2015-02-12,55,25.9,20.6,29.2,22.7,7.2,7.2,0.0,13.0,43738.3,48274.32,16.7,39.6,109,24.17,4.46
2015-02-13,55,25.5,20.6,28.8,23.0,3.9,3.9,0.0,14.0,42670.25,48158.52,16.3,41.0,135,21.09,4.04
2015-02-14,61,25.4,19.6,27.8,22.1,3.5,3.5,0.0,8.0,35310.62,48041.39,17.9,38.9,47,19.55,3.78
2015-02-15,53,26.2,20.3,30.2,23.5,1.3,1.3,0.0,4.0,43833.25,47923.06,10.5,30.6,71,22.56,4.3
2015-02-16,3,26.8,21.6,29.8,23.9,0.0,0.0,0.0,0.0,44026.0,47803.66,19.8,41.8,49,25.75,5.13
2015-02-17,1,26.5,21.0,28.6,23.3,0.0,0.0,0.0,0.0,44399.34,47683.3,23.7,49.3,52,28.05,5.5
2015-02-18,51,25.3,20.6,27.2,23.2,0.5,0.5,0.0,3.0,43900.62,47562.11,19.5,44.6,61,22.23,4.41
2015-02-19,51,24.8,20.3,26.6,22.6,0.9,0.9,0.0,3.0,43614.05,47440.2,17.9,40.7,73,18.91,3.67
2015-02-20,51,25.8,20.5,27.9,23.5,0.3,0.3,0.0,3.0,31927.65,47317.68,13.4,29.9,83,17.25,3.42
2015-02-21,53,23.6,21.2,25.8,24.0,2.7,2.7,0.0,10.0,25984.46,47194.65,11.5,31.7,90,9.99,2.13
2015-02-22,51,25.4,20.5,27.5,23.1,1.2,1.2,0.0,7.0,43149.6,47071.25,15.6,38.2,86,20.88,3.99
2015-02-23,51,25.6,20.7,28.8,23.8,1.8,1.8,0.0,11.0,43476.89,46947.56,14.6,33.8,71,19.87,3.69
2015-02-24,53,24.1,20.4,26.4,21.9,1.2,1.2,0.0,5.0,24113.37,46823.69,24.9,47.9,171,14.47,2.86
2015-02-25,53,22.4,19.9,22.9,21.2,3.4,3.4,0.0,8.0,28694.87,46699.75,19.8,37.4,172,11.32,2.32
2015-02-26,51,25.0,19.9,27.4,21.4,0.3,0.3,0.0,1.0,26145.03,46575.86,6.5,19.1,205,14.37,2.86
2015-02-27,51,24.6,20.1,27.8,21.8,0.7,0.7,0.0,5.0,41417.91,46452.08,13.5,29.2,129,20.74,3.81
2015-02-28,3,26.4,19.3,29.6,22.1,0.0,0.0,0.0,0.0,36085.15,46328.55,15.5,36.0,39,21.78,4.12
2015-03-01,63,31.6,20.6,35.4,18.6,13.1,13.1,0.0,5.0,40182.22,46205.34,27.9,58.7,195,21.75,4.83
2015-03-02,3,22.7,19.6,22.4,18.3,0.0,0.0,0.0,0.0,30271.78,46081.72,22.0,39.2,149,14.98,3.85
2015-03-03,3,25.1,17.0,27.9,17.8,0.0,0.0,0.0,0.0,40842.93,45957.19,17.1,38.5,49,23.27,4.38
2015-03-04,53,25.4,20.0,28.8,22.6,2.7,2.7,0.0,7.0,33349.7,45831.84,12.8,27.0,119,15.33,2.94
2015-03-05,1,24.9,17.6,24.0,16.8,0.0,0.0,0.0,0.0,42595.72,45705.76,24.8,53.3,201,25.69,5.13
2015-03-06,3,26.9,16.0,25.8,14.9,0.0,0.0,0.0,0.0,42547.21,45579.06,18.1,32.8,268,25.86,5.56
2015-03-07,51,23.3,18.5,23.9,19.8,0.4,0.4,0.0,4.0,40562.16,45451.82,20.3,42.8,69,15.7,3.16
2015-03-08,51,26.0,20.3,29.9,22.9,0.3,0.3,0.0,1.0,39562.48,45324.13,13.3,31.3,162,21.27,3.94
2015-03-09,3,27.3,18.8,31.8,21.4,0.0,0.0,0.0,0.0,42287.12,45196.11,15.9,34.2,94,24.74,4.76
2015-03-10,53,24.1,21.0,26.5,22.6,1.9,1.9,0.0,7.0,37672.19,45067.81,14.3,31.7,152,13.95,2.73
2015-03-11,53,26.4,20.4,29.6,23.6,1.4,1.4,0.0,4.0,39586.61,44939.35,11.8,26.6,41,17.97,3.48
2015-03-12,51,25.2,19.1,28.6,21.1,0.6,0.6,0.0,4.0,41823.12,44810.81,16.1,36.7,162,19.77,3.78
2015-03-13,53,20.6,18.5,20.6,18.2,4.9,4.9,0.0,17.0,3600.0,44682.27,19.3,40.7,169,4.91,1.71
2015-03-14,51,22.9,16.4,23.3,16.9,0.2,0.2,0.0,2.0,40520.04,44553.82,14.3,29.9,15,18.98,3.64
2015-03-15,55,21.7,17.3,20.2,16.9,2.1,2.1,0.0,8.0,41523.7,44425.56,27.6,60.8,178,16.45,3.25
2015-03-16,51,21.0,17.3,19.9,16.2,0.1,0.1,0.0,1.0,37738.66,44297.57,13.4,31.7,136,14.37,3.2
2015-03-17,3,23.2,14.8,23.6,14.7,0.0,0.0,0.0,0.0,35659.82,44169.92,12.6,33.1,13,18.6,3.7
2015-03-18,51,28.3,19.4,30.6,20.3,0.3,0.3,0.0,2.0,41142.08,44042.71,13.6,47.2,36,18.82,3.82
2015-03-19,0,26.3,19.8,30.5,21.6,0.0,0.0,0.0,0.0,41015.46,43916.04,13.5,30.2,127,23.12,4.33
2015-03-20,51,28.3,18.9,31.0,19.1,0.1,0.1,0.0,1.0,38287.22,43789.98,27.9,58.3,168,20.14,3.98
2015-03-21,3,21.6,20.0,20.8,17.6,0.0,0.0,0.0,0.0,11342.53,43664.61,21.1,43.9,147,9.01,3.34
2015-03-22,51,22.7,20.1,23.2,20.0,0.4,0.4,0.0,2.0,19625.97,43539.27,14.1,39.6,89,10.0,2.59
2015-03-23,3,26.1,19.9,28.0,21.2,0.0,0.0,0.0,0.0,38218.44,43413.48,17.6,37.1,22,19.39,3.8
